,Action
0,activity synonym
1,measures synonym
2,work synonym
3,operation synonym
4,move synonym
5,deed synonym
6,movement synonym
7,measure synonym
8,working synonym
9,process synonym
10,steps synonym
11,case synonym
12,effort synonym
13,efforts synonym
14,lawsuit synonym
15,proceedings synonym
16,undertaking synonym
17,activities synonym
18,behavior synonym
19,step synonym
20,act synonym
21,effect synonym
22,suit synonym
23,battle synonym
24,exercise synonym
25,exploit synonym
26,fighting synonym
27,procedure synonym
28,combat synonym
29,performance synonym
30,response synonym
31,doing synonym
32,motion synonym
33,conduct synonym
34,carry out synonym
35,business synonym
36,events synonym
37,influence synonym
38,accomplish synonym
39,gesture synonym
40,warfare synonym
41,achievement synonym
42,engagement synonym
43,exertion synonym
44,fight synonym
45,activeness synonym
46,conflict synonym
