,Animation
0,liveliness synonym
1,energy synonym
2,spirit synonym
3,vitality synonym
4,life synonym
5,enthusiasm synonym
6,vivacity synonym
7,zest synonym
8,verve synonym
9,passion synonym
10,vigor synonym
11,fire synonym
12,exuberance synonym
13,fervor synonym
14,sparkle synonym
15,zeal synonym
16,eagerness synonym
17,excitement synonym
18,effervescence synonym
19,living synonym
20,brio synonym
21,bounce synonym
22,ebullience synonym
23,dynamism synonym
24,get-up-and-go synonym
25,zing synonym
26,aliveness synonym
27,ardor synonym
28,invigoration synonym
29,dash synonym
30,intensity synonym
31,oomph synonym
32,spiritedness synonym
33,gusto synonym
34,cartoon synonym
35,pep synonym
36,sprightliness synonym
37,buoyancy synonym
38,fervency synonym
39,exhilaration synonym
40,gaiety synonym
41,vigour synonym
42,vivaciousness synonym
43,zip synonym
44,activity synonym
45,cheerfulness synonym
46,elation synonym
