,Anime
0,animation synonym
1,japanese animation synonym
2,japanese art genre synonym
3,japanese cartoon art synonym
4,animated cartoon synonym
5,animated cartoons synonym
6,cartoon genre synonym
7,japanese cartoon style synonym
8,japanese cartoon genre synonym
9,japanese cartooning style synonym
10,cartoon synonym
11,japanese cartooning synonym
12,cartoony synonym
13,cheer him synonym
14,japanime synonym
15,animanga synonym
16,animated synonym
17,japanese animation style synonym
18,japanese-disseminated animation style synonym
19,japanimation synonym
20,picture synonym
21,animated work synonym
22,animates synonym
23,behind synonym
24,drives synonym
25,funny papers synonym
26,japanese animated cartoon synonym
27,japanese animated cartoons synonym
28,japanese anime synonym
29,life synonym
30,sprightful synonym
31,show tunes synonym
