,Fantasy
0,dream synonym
1,imagination synonym
2,fancy synonym
3,illusion synonym
4,daydream synonym
5,vision synonym
6,fantasize synonym
7,delusion synonym
8,pipe dream synonym
9,fiction synonym
10,chimera synonym
11,make-believe synonym
12,invention synonym
13,phantasy synonym
14,wish synonym
15,mirage synonym
16,romance synonym
17,creativity synonym
18,phantasm synonym
19,hallucination synonym
20,fantasia synonym
21,myth synonym
22,reverie synonym
23,dreaming synonym
24,fabrication synonym
25,fantasizing synonym
26,nightmare synonym
27,pie in the sky synonym
28,story synonym
29,day-dream synonym
30,fable synonym
31,fairy tale synonym
32,folktale synonym
33,desire synonym
34,dreams synonym
35,daydreams synonym
36,pretend synonym
37,air castle synonym
38,apparition synonym
39,daydreaming synonym
40,imaginary synonym
41,escapism synonym
42,fantasized synonym
43,figment of the imagination synonym
44,imaginativeness synonym
45,imagining synonym
46,mythical synonym
