,Foreign
0,alien synonym
1,strange synonym
2,external synonym
3,overseas synonym
4,outside synonym
5,unfamiliar synonym
6,exotic synonym
7,extraneous synonym
8,international synonym
9,stranger synonym
10,abroad synonym
11,unknown synonym
12,outer synonym
13,exterior synonym
14,outlandish synonym
15,outward synonym
16,distant synonym
17,global synonym
18,internationally synonym
19,remote synonym
20,externally synonym
21,extrinsic synonym
22,world synonym
23,weird synonym
24,irrelevant synonym
25,offshore synonym
26,impertinent synonym
27,incongruous synonym
28,nonnative synonym
29,outsider synonym
30,peculiar synonym
31,perfect stranger synonym
32,different synonym
33,funny synonym
34,strangers synonym
35,imported synonym
36,unconnected synonym
37,unrelated synonym
38,unusual synonym
39,aliens synonym
40,expatriate synonym
41,foreigners synonym
42,odd synonym
43,outdoor synonym
44,outsiders synonym
45,cross-border synonym
46,for overseas synonym
