,News
0,word synonym
1,information synonym
2,report synonym
3,intelligence synonym
4,media synonym
5,message synonym
6,tidings synonym
7,press synonym
8,communication synonym
9,story synonym
10,dispatch synonym
11,bulletin synonym
12,newscast synonym
13,info synonym
14,scoop synonym
15,announcement synonym
16,newspaper synonym
17,reports synonym
18,headlines synonym
19,paper synonym
20,update synonym
21,advice synonym
22,account synonym
23,communique synonym
24,article synonym
25,disclosure synonym
26,mass media synonym
27,heard synonym
28,latest synonym
29,gossip synonym
30,knowledge synonym
31,newsworthiness synonym
32,note synonym
33,notice synonym
34,reporting synonym
35,talk synonym
36,news flash synonym
37,messages synonym
38,news program synonym
39,fresh synonym
40,statement synonym
41,dope synonym
42,letter synonym
43,lowdown synonym
44,newsreel synonym
45,novel synonym
46,piece of news synonym
