,Shows
0,demonstrates synonym
1,displays synonym
2,exhibits synonym
3,indicates synonym
4,reveals synonym
5,depicts synonym
6,presents synonym
7,illustrates synonym
8,prove synonym
9,demonstrate synonym
10,show synonym
11,reflects synonym
12,display synonym
13,indicate synonym
14,shown synonym
15,evidence synonym
16,exhibit synonym
17,exhibitions synonym
18,reveal synonym
19,attests synonym
20,demonstrations synonym
21,performance synonym
22,appear synonym
23,exhibition synonym
24,manifests synonym
25,show up synonym
26,showed synonym
27,showing synonym
28,teach synonym
29,point synonym
30,bears witness to synonym
31,demonstrated synonym
32,exposition synonym
33,points out synonym
34,present synonym
35,reflected synonym
36,take synonym
37,come synonym
38,confirm synonym
39,establish synonym
40,fair centre synonym
41,portrays synonym
42,revealer synonym
43,testifies synonym
44,be seen synonym
45,exposes synonym
46,presentations synonym
