,Technology
0,engineering synonym
1,tech synonym
2,technological synonym
3,machinery synonym
4,technologies synonym
5,technics synonym
6,high-tech synonym
7,technic synonym
8,technical synonym
9,device synonym
10,methodology synonym
11,procedure synonym
12,technique synonym
13,technology field synonym
14,field of technology synonym
15,tech savvy synonym
16,technological advancement synonym
17,mechanism synonym
18,technically synonym
19,technologically synonym
20,applied science synonym
21,arktech synonym
22,high-technology synonym
23,technological advance synonym
24,technology-based synonym
25,engineering science synonym
26,process sequence synonym
27,processing synonym
28,technological facilities synonym
29,engineering practice synonym
30,enginery synonym
31,equipment synonym
32,roadworthiness synonym
33,scheme synonym
34,technical equipment synonym
35,technicality synonym
36,art technology synonym
37,development sequence synonym
38,hi-tech synonym
39,high technology synonym
40,information-technology synonym
41,new tech synonym
42,set of methods synonym
43,skilled in the art synonym
44,technical one synonym
45,technician synonym
46,technicity synonym
