,Thriller
0,mystery synonym
1,whodunit synonym
2,detective story synonym
3,chiller synonym
4,mysteries synonym
5,detective novel synonym
6,crime novel synonym
7,murder mystery synonym
8,cliffhanger synonym
9,closed book synonym
10,mystery story synonym
11,cliff hanger synonym
12,exciting story synonym
13,fiction synonym
14,parable synonym
15,sixty-four-thousand-dollar question synonym
16,suspense synonym
17,tough nut to crack synonym
18,abstruseness synonym
19,brainteaser synonym
20,braintwister synonym
21,charade synonym
22,cliff-hanger synonym
23,crux synonym
24,cryptogram synonym
25,detective fiction synonym
26,difficulty synonym
27,dilemma synonym
28,doubt synonym
29,fabliau synonym
30,flutterer synonym
31,gest synonym
32,ghost story synonym
33,grabber synonym
34,hot story synonym
35,inscrutability synonym
36,inscrutableness synonym
37,mindboggler synonym
38,mystery novel synonym
39,mystification synonym
40,myth synonym
41,novella synonym
42,occult synonym
43,oracle synonym
44,perplexity synonym
45,poser synonym
46,problem synonym
