,Travels
0,journey synonym
1,trip synonym
2,move synonym
3,voyage synonym
4,travelling synonym
5,tour synonym
6,ride synonym
7,drive synonym
8,take a trip synonym
9,roam synonym
10,rove synonym
11,wander synonym
12,go on a trip synonym
13,proceed synonym
14,trek synonym
15,walk synonym
16,ramble synonym
17,traverse synonym
18,go on an expedition synonym
19,cruise synonym
20,go camping synonym
21,jaunt synonym
22,backpack synonym
23,go synonym
24,moving synonym
25,go on an excursion synonym
26,range synonym
27,globetrot synonym
28,progress synonym
29,visit synonym
30,journeys synonym
31,locomotion synonym
32,trips synonym
33,course synonym
34,cover synonym
35,pass synonym
36,drift synonym
37,roll synonym
38,peregrinate synonym
39,tours synonym
40,seafaring synonym
41,go abroad synonym
42,touring synonym
43,motion synonym
44,move about synonym
45,riding synonym
46,cross synonym
47,hike synonym
48,taking a trip synonym
49,running synonym
