,film
0,movie synonym
1,shoot synonym
2,cinema synonym
3,picture synonym
4,layer synonym
5,coat synonym
6,flick synonym
7,sheet synonym
8,video synonym
9,motion picture synonym
10,coating synonym
11,skin synonym
12,movies synonym
13,record synonym
14,tape synonym
15,covering synonym
16,pictures synonym
17,take synonym
18,movie theater synonym
19,picture show synonym
20,moving picture synonym
21,shooting synonym
22,filming synonym
23,foil synonym
24,photograph synonym
25,videotape synonym
26,celluloid synonym
27,cover synonym
28,footage synonym
29,membrane synonym
30,cloud synonym
31,mist synonym
32,movie theatre synonym
33,snap synonym
34,overlay synonym
35,theatre synonym
36,documentary synonym
37,haze synonym
38,moving-picture show synonym
39,theater synonym
40,filmmaking synonym
41,lamina synonym
42,pellicle synonym
43,record on film synonym
44,roll synonym
45,screen synonym
46,scum synonym
47,blanket synonym
48,feature film synonym
49,films synonym
